,city,type_of_plan,highest_level_education,work_status,gender,relationship_status,payment_per_month,weeks_since_claim,open_policies,Renew_Offer_Type,reachability,type_of_vehicle,churn
0,Tamale,primary_plan,Bachelor,Employed,female,Married,138,138,1,1,contacting_agent,2-door_car,No
1,Takoradi,extended_plan,Bachelor,Unemployed,female,Single,188,56,8,3,contacting_agent,4-door_car,No
2,Cape_coast,premium_plan,Bachelor,Employed,female,Married,216,77,2,1,contacting_agent,2-door_car,No
3,Accra,primary_plan,Bachelor,Unemployed,male,Married,212,77,7,1,customer_call_centre,SUV,No
4,Tamale,primary_plan,Bachelor,Employed,male,Single,146,52,1,1,contacting_agent,4-door_car,No
5,Kumasi,primary_plan,Bachelor,Employed,female,Married,138,60,2,2,via_the_web,2-door_car,Yes
6,Kumasi,primary_plan,College,Employed,female,Married,134,0,9,1,contacting_agent,4-door_car,Yes
7,Takoradi,premium_plan,Master,Unemployed,male,Single,202,0,4,1,contacting_agent,4-door_car,No
8,Kumasi,primary_plan,Bachelor,Medical Leave,male,Divorced,142,56,2,1,contacting_agent,4-door_car,Yes
9,Kumasi,extended_plan,College,Employed,female,Married,186,73,8,2,contacting_branch_directly,4-door_car,No
10,Accra,primary_plan,College,Unemployed,male,Single,134,99,3,1,contacting_agent,4-door_car,No
11,Accra,primary_plan,College,Unemployed,female,Married,220,116,3,2,contacting_agent,SUV,No
12,Accra,premium_plan,Master,Employed,male,Married,220,39,3,2,contacting_agent,4-door_car,No
13,Takoradi,primary_plan,High School or Below,Employed,male,Married,220,99,8,2,contacting_branch_directly,SUV,Yes
14,Accra,primary_plan,College,Employed,male,Single,140,90,8,4,customer_call_centre,4-door_car,No
15,Kumasi,primary_plan,Bachelor,Employed,female,Married,128,52,2,2,contacting_branch_directly,4-door_car,No
16,Cape_coast,primary_plan,High School or Below,Medical Leave,male,Married,134,60,1,2,customer_call_centre,2-door_car,No
17,Accra,primary_plan,College,Medical Leave,male,Married,202,52,1,3,customer_call_centre,SUV,No
18,Kumasi,primary_plan,College,Employed,male,Married,144,39,7,2,contacting_branch_directly,4-door_car,No
19,Accra,premium_plan,High School or Below,Employed,female,Married,202,47,3,1,customer_call_centre,4-door_car,No
20,Kumasi,primary_plan,High School or Below,Employed,male,Single,148,133,1,1,contacting_branch_directly,2-door_car,No
21,Tamale,extended_plan,Bachelor,Disabled,female,Divorced,158,34,1,4,customer_call_centre,4-door_car,No
22,Takoradi,primary_plan,Bachelor,Medical Leave,male,Divorced,142,56,2,1,contacting_agent,4-door_car,Yes
23,Cape_coast,primary_plan,Bachelor,Unemployed,female,Single,146,17,1,1,contacting_branch_directly,4-door_car,No
24,Accra,primary_plan,Bachelor,Disabled,female,Married,122,129,1,2,contacting_branch_directly,4-door_car,No
25,Kumasi,primary_plan,College,Employed,male,Married,144,95,3,2,customer_call_centre,4-door_car,No
26,Accra,premium_plan,Bachelor,Unemployed,female,Single,222,64,1,1,contacting_agent,4-door_car,No
27,Tamale,extended_plan,Master,Disabled,female,Married,278,142,1,1,contacting_branch_directly,SUV,No
28,Takoradi,premium_plan,College,Employed,female,Single,222,142,2,1,customer_call_centre,4-door_car,No
29,Kumasi,extended_plan,Master,Employed,female,Married,160,73,1,2,contacting_branch_directly,4-door_car,No
30,Takoradi,primary_plan,College,Employed,male,Married,126,17,1,4,customer_call_centre,4-door_car,No
31,Cape_coast,extended_plan,High School or Below,Employed,male,Married,474,4,6,2,contacting_agent,luxurious_suv,No
32,Accra,primary_plan,Bachelor,Unemployed,male,Married,130,82,3,1,customer_call_centre,4-door_car,No
33,Tamale,primary_plan,Bachelor,Employed,male,Married,126,120,6,1,contacting_agent,2-door_car,No
34,Kumasi,primary_plan,Bachelor,Employed,female,Married,124,82,8,3,via_the_web,4-door_car,No
35,Takoradi,primary_plan,High School or Below,Employed,female,Married,142,47,6,1,contacting_branch_directly,4-door_car,No
36,Accra,premium_plan,Bachelor,Employed,male,Married,234,43,2,1,contacting_agent,4-door_car,No
37,Kumasi,extended_plan,Master,Employed,female,Married,182,82,8,2,via_the_web,4-door_car,No
38,Kumasi,extended_plan,Bachelor,Unemployed,male,Single,180,30,1,3,contacting_agent,2-door_car,No
39,Takoradi,primary_plan,High School or Below,Employed,male,Divorced,132,17,1,1,customer_call_centre,4-door_car,No
40,Cape_coast,primary_plan,High School or Below,Unemployed,female,Married,140,30,1,3,customer_call_centre,2-door_car,No
41,Kumasi,primary_plan,College,Employed,female,Single,142,13,1,2,contacting_agent,2-door_car,Yes
42,Accra,extended_plan,Bachelor,Employed,female,Married,198,52,1,2,contacting_agent,4-door_car,Yes
43,Takoradi,primary_plan,High School or Below,Employed,male,Married,206,64,2,4,contacting_agent,Sports Car,No
44,Tamale,primary_plan,College,Employed,male,Married,122,64,1,2,customer_call_centre,4-door_car,No
45,Kumasi,premium_plan,Doctor,Disabled,female,Married,344,22,3,1,contacting_branch_directly,SUV,No
46,Takoradi,primary_plan,Bachelor,Unemployed,male,Single,146,30,5,3,customer_call_centre,4-door_car,No
47,Kumasi,primary_plan,High School or Below,Employed,female,Single,142,30,4,4,contacting_agent,2-door_car,No
48,Accra,extended_plan,Bachelor,Unemployed,female,Married,184,47,1,2,customer_call_centre,4-door_car,No
49,Takoradi,primary_plan,High School or Below,Unemployed,female,Married,124,47,1,4,contacting_branch_directly,4-door_car,No
50,Kumasi,primary_plan,College,Employed,male,Married,208,4,2,1,contacting_agent,SUV,No
51,Accra,primary_plan,Bachelor,Employed,female,Divorced,212,77,2,1,via_the_web,SUV,Yes
52,Cape_coast,primary_plan,High School or Below,Employed,female,Married,138,17,2,4,contacting_branch_directly,4-door_car,No
53,Tamale,primary_plan,Bachelor,Employed,male,Single,128,82,3,4,contacting_agent,4-door_car,No
54,Accra,premium_plan,Bachelor,Disabled,male,Married,226,86,1,1,contacting_branch_directly,4-door_car,No
55,Takoradi,extended_plan,College,Employed,female,Divorced,182,4,3,3,customer_call_centre,4-door_car,No
56,Accra,primary_plan,College,Employed,male,Married,128,103,2,2,contacting_branch_directly,4-door_car,No
57,Takoradi,primary_plan,High School or Below,Unemployed,female,Married,202,125,1,1,customer_call_centre,SUV,No
58,Kumasi,extended_plan,High School or Below,Disabled,female,Divorced,248,146,1,1,customer_call_centre,SUV,No
59,Kumasi,premium_plan,Master,Disabled,female,Divorced,216,17,1,1,contacting_agent,4-door_car,No
60,Takoradi,primary_plan,Bachelor,Retired,male,Divorced,130,4,3,1,contacting_agent,4-door_car,Yes
61,Accra,premium_plan,Bachelor,Medical Leave,female,Married,210,17,6,1,customer_call_centre,2-door_car,No
62,Kumasi,extended_plan,Bachelor,Unemployed,male,Single,188,86,1,1,contacting_agent,2-door_car,No
63,Accra,primary_plan,High School or Below,Employed,female,Married,200,0,2,1,contacting_agent,SUV,No
64,Takoradi,primary_plan,Bachelor,Unemployed,female,Single,126,90,2,3,contacting_branch_directly,4-door_car,No
65,Tamale,primary_plan,College,Employed,male,Married,146,125,1,3,via_the_web,4-door_car,No
66,Kumasi,primary_plan,College,Employed,female,Divorced,224,30,3,1,contacting_agent,SUV,No
67,Takoradi,extended_plan,High School or Below,Employed,female,Married,194,22,2,4,contacting_branch_directly,2-door_car,No
68,Kumasi,extended_plan,Bachelor,Unemployed,female,Divorced,190,56,5,1,customer_call_centre,2-door_car,Yes
69,Accra,premium_plan,College,Disabled,female,Married,204,73,2,3,via_the_web,4-door_car,No
70,Kumasi,primary_plan,High School or Below,Employed,male,Divorced,226,73,2,4,contacting_agent,SUV,No
71,Kumasi,primary_plan,Master,Employed,male,Married,130,125,1,2,via_the_web,2-door_car,No
72,Kumasi,primary_plan,Master,Medical Leave,male,Married,128,4,1,1,contacting_agent,4-door_car,No
73,Kumasi,primary_plan,Bachelor,Unemployed,male,Single,208,129,5,1,contacting_agent,Sports Car,No
74,Kumasi,primary_plan,Bachelor,Employed,male,Divorced,130,22,9,2,contacting_branch_directly,2-door_car,Yes
75,Kumasi,primary_plan,Bachelor,Employed,male,Married,146,116,2,2,contacting_branch_directly,4-door_car,No
76,Kumasi,primary_plan,High School or Below,Employed,female,Single,142,73,6,2,customer_call_centre,4-door_car,No
77,Cape_coast,primary_plan,College,Employed,male,Married,134,86,2,2,contacting_agent,4-door_car,No
78,Tamale,extended_plan,College,Employed,male,Married,198,26,2,1,contacting_agent,4-door_car,No
79,Accra,primary_plan,Bachelor,Employed,male,Single,372,0,2,2,contacting_branch_directly,luxirious_car,No
80,Accra,extended_plan,College,Unemployed,female,Single,154,86,2,3,contacting_branch_directly,2-door_car,No
81,Accra,primary_plan,High School or Below,Employed,male,Single,148,99,8,2,customer_call_centre,4-door_car,Yes
82,Accra,primary_plan,Doctor,Employed,male,Married,204,52,1,3,contacting_branch_directly,SUV,No
83,Cape_coast,primary_plan,Master,Employed,male,Married,126,150,1,2,customer_call_centre,4-door_car,No
84,Kumasi,extended_plan,College,Disabled,female,Single,180,120,3,2,contacting_agent,4-door_car,No
