Customer_ID,City,Work_Status,Gender,Coverage_Type,Accessbility,Vehicle_Type,Monthly_Premium,Open_Policies,Renew_Offer_Type,Vehicle_Age_In_Years,Weeks_Since_Claim,Churn
10000000,Indianapolis,Employed,Female,Primary_Plan,Agents,Coupe_2 Door,138,1,1,10,138,No
10000001,Tampa,Unemployed,Female,Extended_Plan,Agents,Sedan_4 Door,188,8,3,2,56,No
10000002,Fairfield,Employed,Female,Premium_Plan,Agents,Coupe_2 Door,216,2,1,2,77,No
10000003,Boston,Unemployed,Male,Primary_Plan,Customer_Call_Centre,SUV,212,7,1,2,77,No
10000004,Indianapolis,Employed,Male,Primary_Plan,Agents,Sedan_4 Door,146,1,1,3,52,No
10000005,Denver,Employed,Female,Primary_Plan,Website,Coupe_2 Door,138,2,2,2,60,Yes
10000006,Denver,Employed,Female,Primary_Plan,Agents,Sedan_4 Door,134,9,1,2,0,Yes
10000007,Tampa,Unemployed,Male,Premium_Plan,Agents,Sedan_4 Door,202,4,1,3,0,No
10000008,Denver,Medical Leave,Male,Primary_Plan,Agents,Sedan_4 Door,142,2,1,4,56,Yes
10000009,Denver,Employed,Female,Extended_Plan,Direct Branch Contact,Sedan_4 Door,186,8,2,2,73,No
10000010,Boston,Unemployed,Male,Primary_Plan,Agents,Sedan_4 Door,134,3,1,2,99,No
10000011,Boston,Unemployed,Female,Primary_Plan,Agents,SUV,220,3,2,8,116,No
10000012,Boston,Employed,Male,Premium_Plan,Agents,Sedan_4 Door,220,3,2,3,39,No
10000013,Tampa,Employed,Male,Primary_Plan,Direct Branch Contact,SUV,220,8,2,7,99,Yes
10000014,Boston,Employed,Male,Primary_Plan,Customer_Call_Centre,Sedan_4 Door,140,8,4,2,90,No
10000015,Denver,Employed,Female,Primary_Plan,Direct Branch Contact,Sedan_4 Door,128,2,2,2,52,No
10000016,Fairfield,Medical Leave,Male,Primary_Plan,Customer_Call_Centre,Coupe_2 Door,134,1,2,5,60,No
10000017,Boston,Medical Leave,Male,Primary_Plan,Customer_Call_Centre,SUV,202,1,3,3,52,No
10000018,Denver,Employed,Male,Primary_Plan,Direct Branch Contact,Sedan_4 Door,144,7,2,3,39,No
