,Customer_ID,City,Work_Status,Gender,Coverage_Type,Accessbility,Vehicle_Type,Monthly_Premium,Open_Policies,Renew_Offer_Type,Vehicle_Age_In_Years,Weeks_Since_Claim
0,10000000,Indianapolis,Employed,Female,Primary_Plan,Agents,Coupe_2 Door,138,1,1,10,138
1,10000001,Tampa,Unemployed,Female,Extended_Plan,Agents,Sedan_4 Door,188,8,3,2,56
2,10000002,Fairfield,Employed,Female,Premium_Plan,Agents,Coupe_2 Door,216,2,1,2,77
3,10000003,Boston,Unemployed,Male,Primary_Plan,Customer_Call_Centre,SUV,212,7,1,2,77
4,10000004,Indianapolis,Employed,Male,Primary_Plan,Agents,Sedan_4 Door,146,1,1,3,52
5,10000005,Denver,Employed,Female,Primary_Plan,Website,Coupe_2 Door,138,2,2,2,60
6,10000006,Denver,Employed,Female,Primary_Plan,Agents,Sedan_4 Door,134,9,1,2,0
7,10000007,Tampa,Unemployed,Male,Premium_Plan,Agents,Sedan_4 Door,202,4,1,3,0
8,10000008,Denver,Medical Leave,Male,Primary_Plan,Agents,Sedan_4 Door,142,2,1,4,56
9,10000009,Denver,Employed,Female,Extended_Plan,Direct Branch Contact,Sedan_4 Door,186,8,2,2,73
10,10000010,Boston,Unemployed,Male,Primary_Plan,Agents,Sedan_4 Door,134,3,1,2,99
11,10000011,Boston,Unemployed,Female,Primary_Plan,Agents,SUV,220,3,2,8,116
12,10000012,Boston,Employed,Male,Premium_Plan,Agents,Sedan_4 Door,220,3,2,3,39
13,10000013,Tampa,Employed,Male,Primary_Plan,Direct Branch Contact,SUV,220,8,2,7,99
14,10000014,Boston,Employed,Male,Primary_Plan,Customer_Call_Centre,Sedan_4 Door,140,8,4,2,90
15,10000015,Denver,Employed,Female,Primary_Plan,Direct Branch Contact,Sedan_4 Door,128,2,2,2,52
16,10000016,Fairfield,Medical Leave,Male,Primary_Plan,Customer_Call_Centre,Coupe_2 Door,134,1,2,5,60
17,10000017,Boston,Medical Leave,Male,Primary_Plan,Customer_Call_Centre,SUV,202,1,3,3,52
18,10000018,Denver,Employed,Male,Primary_Plan,Direct Branch Contact,Sedan_4 Door,144,7,2,3,39
19,10000019,Boston,Employed,Female,Premium_Plan,Customer_Call_Centre,Sedan_4 Door,202,3,1,3,47
20,10000020,Denver,Employed,Male,Primary_Plan,Direct Branch Contact,Coupe_2 Door,148,1,1,9,133
21,10000021,Indianapolis,Disabled,Female,Extended_Plan,Customer_Call_Centre,Sedan_4 Door,158,1,4,3,34
22,10000022,Tampa,Medical Leave,Male,Primary_Plan,Agents,Sedan_4 Door,142,2,1,2,56
23,10000023,Fairfield,Unemployed,Female,Primary_Plan,Direct Branch Contact,Sedan_4 Door,146,1,1,3,17
24,10000024,Boston,Disabled,Female,Primary_Plan,Direct Branch Contact,Sedan_4 Door,122,1,2,3,129
25,10000025,Denver,Employed,Male,Primary_Plan,Customer_Call_Centre,Sedan_4 Door,144,3,2,2,95
26,10000026,Boston,Unemployed,Female,Premium_Plan,Agents,Sedan_4 Door,222,1,1,2,64
27,10000027,Indianapolis,Disabled,Female,Extended_Plan,Direct Branch Contact,SUV,278,1,1,4,142
28,10000028,Tampa,Employed,Female,Premium_Plan,Customer_Call_Centre,Sedan_4 Door,222,2,1,5,142
29,10000029,Denver,Employed,Female,Extended_Plan,Direct Branch Contact,Sedan_4 Door,160,1,2,2,73
30,10000030,Tampa,Employed,Male,Primary_Plan,Customer_Call_Centre,Sedan_4 Door,126,1,4,3,17
31,10000031,Fairfield,Employed,Male,Extended_Plan,Agents,Luxurious_SUV,474,6,2,2,4
32,10000032,Boston,Unemployed,Male,Primary_Plan,Customer_Call_Centre,Sedan_4 Door,130,3,1,2,82
33,10000033,Indianapolis,Employed,Male,Primary_Plan,Agents,Coupe_2 Door,126,6,1,6,120
34,10000034,Denver,Employed,Female,Primary_Plan,Website,Sedan_4 Door,124,8,3,2,82
35,10000035,Tampa,Employed,Female,Primary_Plan,Direct Branch Contact,Sedan_4 Door,142,6,1,3,47
36,10000036,Boston,Employed,Male,Premium_Plan,Agents,Sedan_4 Door,234,2,1,3,43
37,10000037,Denver,Employed,Female,Extended_Plan,Website,Sedan_4 Door,182,8,2,2,82
38,10000038,Denver,Unemployed,Male,Extended_Plan,Agents,Coupe_2 Door,180,1,3,3,30
39,10000039,Tampa,Employed,Male,Primary_Plan,Customer_Call_Centre,Sedan_4 Door,132,1,1,3,17
40,10000040,Fairfield,Unemployed,Female,Primary_Plan,Customer_Call_Centre,Coupe_2 Door,140,1,3,3,30
41,10000041,Denver,Employed,Female,Primary_Plan,Agents,Coupe_2 Door,142,1,2,3,13
42,10000042,Boston,Employed,Female,Extended_Plan,Agents,Sedan_4 Door,198,1,2,4,52
43,10000043,Tampa,Employed,Male,Primary_Plan,Agents,Sports Car,206,2,4,2,64
44,10000044,Indianapolis,Employed,Male,Primary_Plan,Customer_Call_Centre,Sedan_4 Door,122,1,2,2,64
45,10000045,Denver,Disabled,Female,Premium_Plan,Direct Branch Contact,SUV,344,3,1,3,22
46,10000046,Tampa,Unemployed,Male,Primary_Plan,Customer_Call_Centre,Sedan_4 Door,146,5,3,3,30
47,10000047,Denver,Employed,Female,Primary_Plan,Agents,Coupe_2 Door,142,4,4,3,30
48,10000048,Boston,Unemployed,Female,Extended_Plan,Customer_Call_Centre,Sedan_4 Door,184,1,2,3,47
49,10000049,Tampa,Unemployed,Female,Primary_Plan,Direct Branch Contact,Sedan_4 Door,124,1,4,3,47
